# Pharos pharos.watch | Endpoint: depeg-history | As of: 2026-05-16T21:20:16.676Z | URL: https://pharos.watch/datasets/depeg-history/latest.csv | Methodology: depeg-dews v6.0 | Freshness: point-in-time sample; not guaranteed to track production freshness
id,stablecoinId,symbol,direction,peakDeviationBps,startedAtISO,endedAtISO,durationSec,startPrice,peakPrice,recoveryPrice,pegReference,source
89732,alusd-alchemix,ALUSD,below,-102,2026-04-22T16:49:37.000Z,2026-04-22T17:20:00.000Z,1823,0.989735,0.9896113550000001,0.99014,0.9998103589969762,live
89731,alusd-alchemix,ALUSD,below,-100,2026-04-22T01:35:00.000Z,2026-04-22T01:49:23.000Z,863,0.989827,0.989827,0.990026,0.9998621875174101,live
89730,alusd-alchemix,ALUSD,below,-106,2026-04-20T22:49:42.000Z,2026-04-21T18:35:00.000Z,71118,0.989776,0.989252035,0.9915718605320911,0.9998003948205098,live
89729,alusd-alchemix,ALUSD,below,-106,2026-04-20T21:19:46.000Z,2026-04-20T22:35:01.000Z,4515,0.989771,0.989314,0.9898778132492067,0.999877218535762,live
89728,alusd-alchemix,ALUSD,below,-101,2026-04-20T20:49:43.000Z,2026-04-20T21:05:08.000Z,925,0.989665,0.989665,0.989991,0.9997307536463336,live
89727,meusd-mezo,MUSD,above,122,2026-04-20T14:49:25.000Z,2026-04-23T01:33:55.000Z,211470,1.00992733,1.012,1.005,0.99982135,live
89726,alusd-alchemix,ALUSD,below,-107,2026-04-20T13:19:17.000Z,2026-04-20T16:35:14.000Z,11757,0.98943,0.98911,0.9917309493853859,0.999839,live
89667,alusd-alchemix,ALUSD,below,-105,2026-04-20T10:04:23.000Z,2026-04-20T13:04:28.000Z,10805,0.98941,0.989277,0.9913382954411093,0.999756573021406,live
89666,alusd-alchemix,ALUSD,below,-103,2026-04-20T08:34:22.000Z,2026-04-20T09:49:33.000Z,4511,0.989609,0.98946,0.989859,0.99979365,live
89665,pmusd-precious-metals,pmUSD,below,-132,2026-04-20T07:49:20.000Z,2026-04-22T20:19:30.000Z,217810,0.989476702882991,0.986639,0.992403,0.9997423611137497,live
89664,pmusd-precious-metals,pmUSD,below,-100,2026-04-20T06:49:27.000Z,2026-04-20T07:04:24.000Z,897,0.989695664272084,0.989695664272084,0.989695664272084,0.9996652544621978,live
89663,alusd-alchemix,ALUSD,below,-101,2026-04-20T05:04:18.000Z,2026-04-20T06:04:30.000Z,3612,0.9898450325786772,0.989737,0.98993,0.999801,live
89662,alusd-alchemix,ALUSD,below,-100,2026-04-20T03:19:20.000Z,2026-04-20T03:34:28.000Z,908,0.989825,0.989825,0.990022,0.9998062388264924,live
